"2013-12-31", 3.57 
"2014-01-02", 3.57 
"2014-01-03", 3.57 
"2014-01-06", 3.57 
"2014-01-07", 3.57 
"2014-01-08", 3.57 
"2014-01-09", 3.57 
"2014-01-10", 3.57 
"2014-01-13", 3.57 
"2014-01-14", 3.57 
"2014-01-15", 3.57 
"2014-01-16", 3.57 
"2014-01-17", 3.57 
"2014-01-21", 3.57 
"2014-01-22", 3.57 
"2014-01-23", 3.57 
"2014-01-24", 3.57 
"2014-01-27", 3.57 
"2014-01-28", 3.57 
"2014-01-29", 3.57 
"2014-01-30", 3.57 
"2014-01-31", 3.57 
"2014-02-03", 3.57 
"2014-02-04", 3.57 
"2014-02-05", 3.57 
"2014-02-06", 3.57 
"2014-02-07", 3.57 
"2014-02-10", 3.57 
"2014-02-11", 3.57 
"2014-02-12", 3.57 
"2014-02-13", 3.57 
"2014-02-14", 3.57 
"2014-02-18", 3.57 
"2014-02-19", 3.57 
"2014-02-20", 3.57 
"2014-02-21", 3.57 
"2014-02-24", 3.57 
"2014-02-25", 3.57 
"2014-02-26", 3.57 
"2014-02-27", 3.57 
"2014-02-28", 3.57 
"2014-03-03", 3.57 
"2014-03-04", 3.57 
"2014-03-05", 3.57 
"2014-03-06", 3.31 
"2014-03-07", 3.31 
"2014-03-10", 3.31 
"2014-03-11", 3.31 
"2014-03-12", 3.31 
"2014-03-13", 3.31 
"2014-03-14", 3.31 
"2014-03-17", 3.31 
"2014-03-18", 3.31 
"2014-03-19", 3.31 
"2014-03-20", 3.31 
"2014-03-21", 3.31 
"2014-03-24", 3.31 
"2014-03-25", 3.31 
"2014-03-26", 3.31 
"2014-03-27", 3.31 
"2014-03-28", 3.31 
"2014-03-31", 3.31 
"2014-04-01", 3.31 
"2014-04-02", 3.31 
"2014-04-03", 3.31 
"2014-04-04", 3.31 
"2014-04-07", 3.31 
"2014-04-08", 3.31 
"2014-04-09", 3.31 
"2014-04-10", 3.31 
"2014-04-11", 3.31 
"2014-04-14", 3.31 
"2014-04-15", 3.31 
"2014-04-16", 3.31 
"2014-04-17", 3.31 
"2014-04-21", 3.31 
"2014-04-22", 3.31 
"2014-04-23", 3.31 
"2014-04-24", 3.31 
"2014-04-25", 3.31 
"2014-04-28", 3.31 
"2014-04-29", 3.31 
"2014-04-30", 3.31 
"2014-05-01", 3.31 
"2014-05-02", 3.31 
"2014-05-05", 3.31 
"2014-05-06", 3.31 
"2014-05-07", 3.31 
"2014-05-08", 3.31 
"2014-05-09", 3.31 
"2014-05-12", 3.31 
"2014-05-13", 3.31 
"2014-05-14", 3.31 
"2014-05-15", 3.31 
"2014-05-16", 3.31 
"2014-05-19", 3.31 
"2014-05-20", 3.31 
"2014-05-21", 3.31 
"2014-05-22", 3.31 
"2014-05-23", 3.31 
"2014-05-27", 3.31 
"2014-05-28", 3.31 
"2014-05-29", 3.31 
"2014-05-30", 3.31 
"2014-06-02", 3.31 
"2014-06-03", 3.00 
"2014-06-04", 3.00 
"2014-06-05", 3.00 
"2014-06-06", 3.00 
"2014-06-09", 3.00 
"2014-06-10", 3.00 
"2014-06-11", 3.00 
"2014-06-12", 3.00 
"2014-06-13", 3.00 
"2014-06-16", 3.00 
"2014-06-17", 3.00 
"2014-06-18", 3.00 
"2014-06-19", 3.00 
"2014-06-20", 3.00 
"2014-06-23", 3.00 
"2014-06-24", 3.00 
"2014-06-25", 3.00 
"2014-06-26", 3.00 
"2014-06-27", 3.00 
"2014-06-30", 3.00 
"2014-07-01", 3.00 
"2014-07-02", 3.00 
"2014-07-03", 3.00 
"2014-07-07", 3.00 
"2014-07-08", 3.00 
"2014-07-09", 3.00 
"2014-07-10", 3.00 
"2014-07-11", 3.00 
"2014-07-14", 3.00 
"2014-07-15", 3.00 
"2014-07-16", 3.00 
"2014-07-17", 3.00 
"2014-07-18", 3.00 
"2014-07-21", 3.00 
"2014-07-22", 3.00 
"2014-07-23", 3.00 
"2014-07-24", 3.00 
